Name,Email,Coding,Leadership,Communication Skill,Presentation designing
Melanie,testuser1@example.com,13,91,77,98
Connor,testuser2@example.com,42,77,38,21
Karen,testuser3@example.com,79,97,68,88
Brian,testuser4@example.com,100,44,73,74
Amy,testuser5@example.com,30,68,100,15
Victor,testuser6@example.com,5,31,71,86
Sue,testuser7@example.com,84,83,16,14
Rebecca,testuser8@example.com,2,95,58,86
Adam,testuser9@example.com,93,4,9,34
Christopher,testuser10@example.com,29,34,4,4
Andrea,testuser11@example.com,75,14,47,44
Jennifer,testuser12@example.com,55,74,43,72
Yvonne,testuser13@example.com,70,89,3,63
Frank,testuser14@example.com,66,46,9,67
Paul,testuser15@example.com,78,89,79,79
Adam,testuser16@example.com,87,6,60,91
Lillian,testuser17@example.com,75,26,26,20
Tracey,testuser18@example.com,56,23,76,36
Phil,testuser19@example.com,60,25,82,45
Andrew,testuser20@example.com,54,58,89,9
Gavin,testuser21@example.com,7,65,36,17
Rose,testuser22@example.com,65,19,30,13
Leah,testuser23@example.com,46,94,86,99
Irene,testuser24@example.com,79,21,16,13
Lily,testuser25@example.com,28,32,81,31
Mary,testuser26@example.com,90,19,93,24
Sally,testuser27@example.com,64,51,54,33
Kevin,testuser28@example.com,62,90,58,33
Robert,testuser29@example.com,13,98,82,62
Lily,testuser30@example.com,32,79,13,8
Brian,testuser31@example.com,81,10,16,2
Keith,testuser32@example.com,35,75,53,13
Zoe,testuser33@example.com,64,48,38,44
Audrey,testuser34@example.com,65,60,67,33
Joe,testuser35@example.com,21,93,85,19
Vanessa,testuser36@example.com,71,9,60,16
Karen,testuser37@example.com,40,4,12,96
Chloe,testuser38@example.com,50,43,37,61
Charles,testuser39@example.com,16,36,45,24
Adrian,testuser40@example.com,53,84,18,5
